frame,lat,lon,ele,incline
132,33.998411,-81.006414,85.5,2.81
133,33.998411,-81.006414,85.5,2.81
134,33.998411,-81.006414,85.5,2.81
135,33.998411,-81.006414,85.5,2.81
136,33.998411,-81.006414,85.5,2.81
137,33.998411,-81.006414,85.5,2.81
138,33.998411,-81.006414,85.5,2.81
139,33.998411,-81.006414,85.5,2.81
140,33.998411,-81.006414,85.5,2.81
141,33.998411,-81.006414,85.5,2.81
142,33.998411,-81.006414,85.5,2.81
143,33.998411,-81.006414,85.5,2.81
144,33.998411,-81.006414,85.5,2.81
145,33.998411,-81.006414,85.5,2.81
146,33.998411,-81.006414,85.5,2.81
147,33.998411,-81.006414,85.5,2.81
148,33.998411,-81.006414,85.5,2.81
149,33.998411,-81.006414,85.5,2.81
150,33.998411,-81.006414,85.5,2.81
151,33.998411,-81.006414,85.5,2.81
152,33.998411,-81.006414,85.5,2.81
153,33.998411,-81.006414,85.5,2.81
154,33.998411,-81.006414,85.5,2.81
155,33.998411,-81.006414,85.5,2.81
156,33.998411,-81.006414,85.5,2.81
157,33.998411,-81.006414,85.5,2.81
158,33.998411,-81.006414,85.5,2.81
159,33.998411,-81.006414,85.5,2.81
160,33.998411,-81.006414,85.5,2.81
161,33.998411,-81.006414,85.5,2.81
162,33.998411,-81.006414,85.5,2.81
163,33.998411,-81.006414,85.5,2.81
164,33.998411,-81.006414,85.5,2.81
165,33.998411,-81.006414,85.5,2.81
166,33.998411,-81.006414,85.5,2.81
167,33.998411,-81.006414,85.5,2.81
168,33.998411,-81.006414,85.5,2.81
169,33.998411,-81.006414,85.5,2.81
170,33.998411,-81.006414,85.5,2.81
171,33.998408,-81.006362,85.6,3.22
172,33.998408,-81.006362,85.6,3.22
173,33.998408,-81.006362,85.6,3.22
174,33.998408,-81.006362,85.6,3.22
175,33.998408,-81.006362,85.6,3.22
176,33.998408,-81.006362,85.6,3.22
177,33.998408,-81.006362,85.6,3.22
178,33.998408,-81.006362,85.6,3.22
179,33.998408,-81.006362,85.6,3.22
180,33.998408,-81.006362,85.6,3.22
181,33.998408,-81.006362,85.6,3.22
182,33.998408,-81.006362,85.6,3.22
183,33.998408,-81.006362,85.6,3.22
184,33.998408,-81.006362,85.6,3.22
185,33.998408,-81.006362,85.6,3.22
186,33.998408,-81.006362,85.6,3.22
187,33.998408,-81.006362,85.6,3.22
188,33.998408,-81.006362,85.6,3.22
189,33.998408,-81.006362,85.6,3.22
190,33.998408,-81.006362,85.6,3.22
191,33.998408,-81.006362,85.6,3.22
192,33.998408,-81.006362,85.6,3.22
193,33.998408,-81.006362,85.6,3.22
194,33.998408,-81.006362,85.6,3.22
195,33.998408,-81.006362,85.6,3.22
196,33.998408,-81.006362,85.6,3.22
197,33.998408,-81.006362,85.6,3.22
198,33.998408,-81.006362,85.6,3.22
199,33.998408,-81.006362,85.6,3.22
200,33.998408,-81.006362,85.6,3.22
201,33.998408,-81.006362,85.6,3.22
202,33.998408,-81.006362,85.6,3.22
203,33.998408,-81.006362,85.6,3.22
204,33.998408,-81.006362,85.6,3.22
205,33.998408,-81.006362,85.6,3.22
206,33.998408,-81.006362,85.6,3.22
207,33.998408,-81.006362,85.6,3.22
208,33.998408,-81.006362,85.6,3.22
209,33.998408,-81.006362,85.6,3.22
210,33.998408,-81.006362,85.6,3.22
211,33.998408,-81.006362,85.6,3.22
212,33.998408,-81.006362,85.6,3.22
213,33.998408,-81.006362,85.6,3.22
214,33.998408,-81.006362,85.6,3.22
215,33.998408,-81.006362,85.6,3.22
216,33.998408,-81.006362,85.6,3.22
217,33.998408,-81.006362,85.6,3.22
218,33.998408,-81.006362,85.6,3.22
219,33.998408,-81.006362,85.6,3.22
220,33.998407,-81.006301,85.8,2.48
221,33.998407,-81.006301,85.8,2.48
222,33.998407,-81.006301,85.8,2.48
223,33.998407,-81.006301,85.8,2.48
224,33.998407,-81.006301,85.8,2.48
225,33.998407,-81.006301,85.8,2.48
226,33.998407,-81.006301,85.8,2.48
227,33.998407,-81.006301,85.8,2.48
228,33.998407,-81.006301,85.8,2.48
229,33.998407,-81.006301,85.8,2.48
230,33.998407,-81.006301,85.8,2.48
231,33.998407,-81.006301,85.8,2.48
232,33.998407,-81.006301,85.8,2.48
233,33.998407,-81.006301,85.8,2.48
234,33.998407,-81.006301,85.8,2.48
235,33.998407,-81.006301,85.8,2.48
236,33.998407,-81.006301,85.8,2.48
237,33.998407,-81.006301,85.8,2.48
238,33.998407,-81.006301,85.8,2.48
239,33.998407,-81.006301,85.8,2.48
240,33.998407,-81.006301,85.8,2.48
241,33.998407,-81.006301,85.8,2.48
242,33.998407,-81.006301,85.8,2.48
243,33.998407,-81.006301,85.8,2.48
244,33.998407,-81.006301,85.8,2.48
245,33.998407,-81.006301,85.8,2.48
246,33.998407,-81.006301,85.8,2.48
247,33.998407,-81.006301,85.8,2.48
248,33.998407,-81.006301,85.8,2.48
249,33.998407,-81.006301,85.8,2.48
250,33.998407,-81.006301,85.8,2.48
251,33.998407,-81.006301,85.8,2.48
252,33.998407,-81.006301,85.8,2.48
253,33.998407,-81.006301,85.8,2.48
254,33.998407,-81.006301,85.8,2.48
255,33.998407,-81.006301,85.8,2.48
256,33.998407,-81.006301,85.8,2.48
257,33.998407,-81.006301,85.8,2.48
258,33.998407,-81.006301,85.8,2.48
259,33.998407,-81.006301,85.8,2.48
260,33.998407,-81.006301,85.8,2.48
261,33.998407,-81.006301,85.8,2.48
262,33.998407,-81.006301,85.8,2.48
263,33.998407,-81.006301,85.8,2.48
264,33.998407,-81.006301,85.8,2.48
265,33.998407,-81.006301,85.8,2.48
266,33.998407,-81.006301,85.8,2.48
267,33.998407,-81.006301,85.8,2.48
268,33.998404,-81.006241,85.9,2.40
269,33.998404,-81.006241,85.9,2.40
270,33.998404,-81.006241,85.9,2.40
271,33.998404,-81.006241,85.9,2.40
272,33.998404,-81.006241,85.9,2.40
273,33.998404,-81.006241,85.9,2.40
274,33.998404,-81.006241,85.9,2.40
275,33.998404,-81.006241,85.9,2.40
276,33.998404,-81.006241,85.9,2.40
277,33.998404,-81.006241,85.9,2.40
278,33.998404,-81.006241,85.9,2.40
279,33.998404,-81.006241,85.9,2.40
280,33.998404,-81.006241,85.9,2.40
281,33.998404,-81.006241,85.9,2.40
282,33.998404,-81.006241,85.9,2.40
283,33.998404,-81.006241,85.9,2.40
284,33.998404,-81.006241,85.9,2.40
285,33.998404,-81.006241,85.9,2.40
286,33.998404,-81.006241,85.9,2.40
287,33.998404,-81.006241,85.9,2.40
288,33.998404,-81.006241,85.9,2.40
289,33.998404,-81.006241,85.9,2.40
290,33.998404,-81.006241,85.9,2.40
291,33.998404,-81.006241,85.9,2.40
292,33.998404,-81.006241,85.9,2.40
293,33.998404,-81.006241,85.9,2.40
294,33.998404,-81.006241,85.9,2.40
295,33.998404,-81.006241,85.9,2.40
296,33.998404,-81.006241,85.9,2.40
297,33.998404,-81.006241,85.9,2.40
298,33.998404,-81.006241,85.9,2.40
299,33.998404,-81.006241,85.9,2.40
300,33.998404,-81.006241,85.9,2.40
301,33.998404,-81.006241,85.9,2.40
302,33.998404,-81.006241,85.9,2.40
303,33.998404,-81.006241,85.9,2.40
304,33.998404,-81.006241,85.9,2.40
305,33.998404,-81.006241,85.9,2.40
306,33.998404,-81.006241,85.9,2.40
307,33.998404,-81.006241,85.9,2.40
308,33.998404,-81.006241,85.9,2.40
309,33.998404,-81.006241,85.9,2.40
310,33.998404,-81.006241,85.9,2.40
311,33.998404,-81.006241,85.9,2.40
312,33.998404,-81.006241,85.9,2.40
313,33.998404,-81.006241,85.9,2.40
314,33.998404,-81.006241,85.9,2.40
315,33.998404,-81.006241,85.9,2.40
316,33.998404,-81.006241,85.9,2.40
317,33.998403,-81.006182,86.0,1.85
318,33.998403,-81.006182,86.0,1.85
319,33.998403,-81.006182,86.0,1.85
320,33.998403,-81.006182,86.0,1.85
321,33.998403,-81.006182,86.0,1.85
322,33.998403,-81.006182,86.0,1.85
323,33.998403,-81.006182,86.0,1.85
324,33.998403,-81.006182,86.0,1.85
325,33.998403,-81.006182,86.0,1.85
326,33.998403,-81.006182,86.0,1.85
327,33.998403,-81.006182,86.0,1.85
328,33.998403,-81.006182,86.0,1.85
329,33.998403,-81.006182,86.0,1.85
330,33.998403,-81.006182,86.0,1.85
331,33.998403,-81.006182,86.0,1.85
332,33.998403,-81.006182,86.0,1.85
333,33.998403,-81.006182,86.0,1.85
334,33.998403,-81.006182,86.0,1.85
335,33.998403,-81.006182,86.0,1.85
336,33.998403,-81.006182,86.0,1.85
337,33.998403,-81.006182,86.0,1.85
